a,b,n
0.5,31.4568913,263711
1.5,186.577146,168630
2.5,280.329717,83971
3.5,319.7580406,47850
4.5,562.3320722,51980
5.5,630.140025,40912
6.5,795.458576,39495
7.5,936.5900758,37752
8.5,938.2840463,32074
9.5,948.5951671,28420
10.5,1027.366185,27669
11.5,1069.022693,26398
12.5,812.9699738,18699
13.5,980.2266751,21267
14.5,1056.236621,21837
15.5,946.0763363,18794
16.5,751.4595196,14441
17.5,792.8454459,14822
18.5,658.6101407,12033
19.5,456.7646527,8187
20.5,365.1658573,6441
21.5,224.0853514,3900
22.5,162.6545011,2799
23.5,72.86667454,1242
24.5,67.7657689,1146
25.5,19.38543706,326
26.5,27.19393647,455
